,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,day_wk,new_days,new_days_1
144,2/21/2016 9:07,2/21/2016 9:46,Business,Unknown Location,Islamabad,14.5,Miscellaneous,2016-02-21 09:07:00,6,Sunday
145,2/21/2016 11:39,2/21/2016 11:43,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,2016-02-21 11:39:00,6,Sunday
146,2/21/2016 11:47,2/21/2016 12:01,Business,Islamabad,Islamabad,4.6,Errand/Supplies,2016-02-21 11:47:00,6,Sunday
147,2/21/2016 12:13,2/21/2016 12:35,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,2016-02-21 12:13:00,6,Sunday
148,2/21/2016 12:51,2/21/2016 13:12,Business,Unknown Location,Unknown Location,8.3,Temporary Site,2016-02-21 12:51:00,6,Sunday
149,2/21/2016 13:33,2/21/2016 14:30,Business,Unknown Location,Unknown Location,22.7,Temporary Site,2016-02-21 13:33:00,6,Sunday
150,2/21/2016 14:36,2/21/2016 15:03,Business,Unknown Location,Islamabad,13.0,Temporary Site,2016-02-21 14:36:00,6,Sunday
151,2/21/2016 15:14,2/21/2016 15:31,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,2016-02-21 15:14:00,6,Sunday
152,2/21/2016 15:36,2/21/2016 15:41,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,2016-02-21 15:36:00,6,Sunday
153,2/21/2016 16:04,2/21/2016 16:32,Business,Unknown Location,Unknown Location,9.7,Miscellaneous,2016-02-21 16:04:00,6,Sunday
154,2/21/2016 23:15,2/21/2016 23:52,Business,Unknown Location,Rawalpindi,20.0,Meeting,2016-02-21 23:15:00,6,Sunday
155,2/22/2016 21:54,2/22/2016 22:09,Business,Morrisville,Cary,8.1,Customer Visit,2016-02-22 21:54:00,0,Monday
156,2/24/2016 14:30,2/24/2016 14:35,Business,Whitebridge,Preston,1.5,Miscellaneous,2016-02-24 14:30:00,2,Wednesday
157,2/24/2016 15:19,2/24/2016 15:25,Business,Preston,Whitebridge,1.7,Errand/Supplies,2016-02-24 15:19:00,2,Wednesday
158,2/25/2016 16:27,2/25/2016 16:35,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,2016-02-25 16:27:00,3,Thursday
159,2/25/2016 16:47,2/25/2016 17:02,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,2016-02-25 16:47:00,3,Thursday
160,2/25/2016 17:16,2/25/2016 17:36,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,2016-02-25 17:16:00,3,Thursday
161,2/25/2016 18:22,2/25/2016 18:39,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,2016-02-25 18:22:00,3,Thursday
162,2/26/2016 9:06,2/26/2016 9:29,Business,Whitebridge,Westpark Place,6.3,Miscellaneous,2016-02-26 09:06:00,4,Friday
163,2/26/2016 11:05,2/26/2016 11:11,Personal,Westpark Place,Whitebridge,1.7,Miscellaneous,2016-02-26 11:05:00,4,Friday
164,2/26/2016 11:35,2/26/2016 11:59,Business,Cary,Durham,10.6,Meeting,2016-02-26 11:35:00,4,Friday
165,2/26/2016 13:01,2/26/2016 13:24,Business,Durham,Cary,9.9,Meeting,2016-02-26 13:01:00,4,Friday
166,2/26/2016 14:38,2/26/2016 14:46,Personal,Whitebridge,Westpark Place,1.9,Miscellaneous,2016-02-26 14:38:00,4,Friday
167,2/26/2016 15:00,2/26/2016 15:18,Personal,Westpark Place,Hazelwood,4.2,Miscellaneous,2016-02-26 15:00:00,4,Friday
168,2/26/2016 17:01,2/26/2016 17:12,Personal,Hazelwood,Whitebridge,2.0,Miscellaneous,2016-02-26 17:01:00,4,Friday
169,2/28/2016 5:22,2/28/2016 5:38,Business,Whitebridge,Waverly Place,7.7,Meeting,2016-02-28 05:22:00,6,Sunday
170,2/28/2016 9:26,2/28/2016 9:42,Business,Waverly Place,Whitebridge,6.8,Meeting,2016-02-28 09:26:00,6,Sunday
171,2/29/2016 11:07,2/29/2016 11:14,Personal,Whitebridge,Westpark Place,2.1,Miscellaneous,2016-02-29 11:07:00,0,Monday
172,2/29/2016 11:30,2/29/2016 11:40,Business,Cary,Apex,3.8,Meeting,2016-02-29 11:30:00,0,Monday
173,2/29/2016 12:36,2/29/2016 12:48,Business,Apex,Cary,5.6,Meeting,2016-02-29 12:36:00,0,Monday
174,2/29/2016 14:55,2/29/2016 15:03,Business,Whitebridge,Hazelwood,2.6,Miscellaneous,2016-02-29 14:55:00,0,Monday
175,2/29/2016 16:40,2/29/2016 17:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,2016-02-29 16:40:00,0,Monday
176,3/1/2016 18:47,3/1/2016 19:10,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,2016-03-01 18:47:00,1,Tuesday
177,3/1/2016 21:27,3/1/2016 21:45,Business,Wayne Ridge,Whitebridge,8.0,Meeting,2016-03-01 21:27:00,1,Tuesday
178,3/3/2016 9:45,3/3/2016 9:52,Personal,Whitebridge,Westpark Place,2.2,Miscellaneous,2016-03-03 09:45:00,3,Thursday
179,3/3/2016 11:04,3/3/2016 11:10,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,2016-03-03 11:04:00,3,Thursday
180,3/3/2016 14:44,3/3/2016 14:58,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,2016-03-03 14:44:00,3,Thursday
181,3/3/2016 15:27,3/3/2016 15:48,Business,Cary,Raleigh,7.6,Customer Visit,2016-03-03 15:27:00,3,Thursday
182,3/3/2016 16:02,3/3/2016 16:42,Business,Raleigh,Cary,17.3,Meeting,2016-03-03 16:02:00,3,Thursday
183,3/4/2016 7:47,3/4/2016 8:06,Business,Cary,Durham,9.9,Meeting,2016-03-04 07:47:00,4,Friday
184,3/4/2016 9:46,3/4/2016 10:03,Business,Durham,Cary,9.9,Customer Visit,2016-03-04 09:46:00,4,Friday
185,3/4/2016 11:46,3/4/2016 12:06,Business,Cary,Durham,10.4,Meeting,2016-03-04 11:46:00,4,Friday
186,3/4/2016 13:03,3/4/2016 13:25,Business,Durham,Cary,10.9,Meeting,2016-03-04 13:03:00,4,Friday
187,3/4/2016 13:40,3/4/2016 14:09,Business,Cary,Raleigh,15.7,Customer Visit,2016-03-04 13:40:00,4,Friday
188,3/4/2016 15:56,3/4/2016 16:08,Business,Raleigh,Raleigh,4.9,Meal/Entertain,2016-03-04 15:56:00,4,Friday
189,3/4/2016 16:16,3/4/2016 16:22,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,2016-03-04 16:16:00,4,Friday
190,3/4/2016 16:43,3/4/2016 17:12,Business,Raleigh,Cary,13.5,Meeting,2016-03-04 16:43:00,4,Friday
191,3/4/2016 19:02,3/4/2016 19:08,Business,Cary,Morrisville,1.9,Temporary Site,2016-03-04 19:02:00,4,Friday
192,3/4/2016 19:16,3/4/2016 19:25,Business,Morrisville,Cary,2.0,Meal/Entertain,2016-03-04 19:16:00,4,Friday
193,3/5/2016 11:44,3/5/2016 11:59,Business,Cary,Morrisville,6.5,Meal/Entertain,2016-03-05 11:44:00,5,Saturday
194,3/5/2016 12:57,3/5/2016 13:12,Personal,Weston,Weston,4.2,Miscellaneous,2016-03-05 12:57:00,5,Saturday
